Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Protein families	Subcellular location [CC]	Pfam	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
A0A075AFX7	unreviewed	A0A075AFX7_9TREM	Amiloride-sensitive sodium channel	T265_04920	Opisthorchis viverrini	429	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A075AK00	unreviewed	A0A075AK00_9TREM	ATP receptor	T265_00119	Opisthorchis viverrini	569					integral component of membrane [GO:0016021]		GO:0016021
A0A087VWZ2	unreviewed	A0A087VWZ2_ECHMU	Glutamate receptor 4	EmuJ_000043900	Echinococcus multilocularis (Fox tapeworm)	261					integral component of membrane [GO:0016021]		GO:0016021
A0A087VX50	unreviewed	A0A087VX50_ECHMU	Glutamate receptor 2	EmuJ_000044000	Echinococcus multilocularis (Fox tapeworm)	277		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00060;PF10613;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ionotropic glutamate receptor activity [GO:0004970]	GO:0004970; GO:0005886; GO:0016021
A0A087VXK0	unreviewed	A0A087VXK0_ECHMU	Amiloride sensitive cation channel 4 A	EmuJ_000063700	Echinococcus multilocularis (Fox tapeworm)	832	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A087W1V8	unreviewed	A0A087W1V8_ECHMU	FMRFamide activated amiloride sensitive sodium	EmuJ_000251600	Echinococcus multilocularis (Fox tapeworm)	173	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A087W228	unreviewed	A0A087W228_ECHMU	FMRFamide activated amiloride sensitive sodium	EmuJ_000251500	Echinococcus multilocularis (Fox tapeworm)	202	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A094ZJC6	unreviewed	A0A094ZJC6_SCHHA	"Glutamate receptor ionotropic, NMDA 2B"	MS3_02890	Schistosoma haematobium (Blood fluke)	1127		SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00060;PF10613;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ionotropic glutamate receptor activity [GO:0004970]	GO:0004970; GO:0005886; GO:0016021
A0A094ZK54	unreviewed	A0A094ZK54_SCHHA	FMRFamide-activated amiloride-sensitive sodium channel (Putative amiloride-sensitive sodium channel)	MS3_0015402 MS3_03260	Schistosoma haematobium (Blood fluke)	676	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A094ZVN4	unreviewed	A0A094ZVN4_SCHHA	"Glutamate receptor ionotropic, delta-1"	MS3_06708	Schistosoma haematobium (Blood fluke)	891		SUBCELLULAR LOCATION: Cell membrane {ECO:0000256|ARBA:ARBA00004651}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004651}. Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00060;PF10613;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ionotropic glutamate receptor activity [GO:0004970]	GO:0004970; GO:0005886; GO:0016021
A0A094ZXV2	unreviewed	A0A094ZXV2_SCHHA	Acetylcholine receptor subunit gamma (Putative nachr subunit)	MS3_0013845 MS3_06393	Schistosoma haematobium (Blood fluke)	432		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;		integral component of membrane [GO:0016021]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016021
A0A094ZYA2	unreviewed	A0A094ZYA2_SCHHA	ZP domain-containing protein	MS3_0013070 MS3_06518	Schistosoma haematobium (Blood fluke)	105							
A0A095A3X3	unreviewed	A0A095A3X3_SCHHA	TWiK family of potassium channels protein 18 (Twik family of potassium channels-related protein)	MS3_0017490 MS3_08710	Schistosoma haematobium (Blood fluke)	482	Two pore domain potassium channel (TC 1.A.1.8) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF07885;		integral component of membrane [GO:0016021]	potassium channel activity [GO:0005267]	GO:0005267; GO:0016021
A0A095A5P5	unreviewed	A0A095A5P5_SCHHA	Neur_chan_LBD domain-containing protein	MS3_10843	Schistosoma haematobium (Blood fluke)	90			PF02931;		integral component of membrane [GO:0016021]	extracellular ligand-gated ion channel activity [GO:0005230]	GO:0005230; GO:0016021
A0A095ATA2	unreviewed	A0A095ATA2_SCHHA	Putative p2x receptor subunit (p2X purinoceptor 4)	MS3_0017078 MS3_06029	Schistosoma haematobium (Blood fluke)	512					integral component of membrane [GO:0016021]		GO:0016021
A0A095BVN9	unreviewed	A0A095BVN9_SCHHA	FMRFamide-activated amiloride-sensitive sodium channel (Putative fmrfamide-gated Na+ channel)	MS3_0014938 MS3_01206	Schistosoma haematobium (Blood fluke)	713	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A095C0Q2	unreviewed	A0A095C0Q2_SCHHA	Putative nAChR subunit	MS3_0020670 MS3_03361	Schistosoma haematobium (Blood fluke)	408				ion transport [GO:0006811]	integral component of membrane [GO:0016021]		GO:0006811; GO:0016021
A0A095C6X5	unreviewed	A0A095C6X5_SCHHA	"Putative acid sensing ion channel 4, pituitary"	MS3_0020253 MS3_06163	Schistosoma haematobium (Blood fluke)	797					integral component of membrane [GO:0016021]		GO:0016021
A0A095C869	unreviewed	A0A095C869_SCHHA	FMRFamide-activated amiloride-sensitive sodium channel (Putative amiloride-sensitive sodium channel)	MS3_0015774 MS3_06760	Schistosoma haematobium (Blood fluke)	758	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0A1CVW0	unreviewed	A0A0A1CVW0_SCHMD	Kcnka	kcnka	Schmidtea mediterranea (Freshwater planarian flatworm)	202	Two pore domain potassium channel (TC 1.A.1.8) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF07885;		integral component of membrane [GO:0016021]	potassium channel activity [GO:0005267]	GO:0005267; GO:0016021
A0A0B6Z6C6	unreviewed	A0A0B6Z6C6_9EUPU	GRIK2	ORF50550	Arion vulgaris	112					integral component of membrane [GO:0016021]		GO:0016021
A0A0L8HZU6	unreviewed	A0A0L8HZU6_OCTBM	Acetylcholine receptor subunit alpha-like 2	OCBIM_22000751mg	Octopus bimaculoides (California two-spotted octopus)	421		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;PF02932;		integral component of membrane [GO:0016021]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016021
A0A0R3S8D5	unreviewed	A0A0R3S8D5_HYMDI	Amiloride-sensitive sodium channel	HDID_LOCUS398	Hymenolepis diminuta (Rat tapeworm)	449	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3S939	unreviewed	A0A0R3S939_HYMDI	P2X purinoceptor	HDID_LOCUS728 WMSIL1_LOCUS9812	Hymenolepis diminuta (Rat tapeworm)	576					integral component of membrane [GO:0016021]		GO:0016021
A0A0R3SAM0	unreviewed	A0A0R3SAM0_HYMDI	Transmembrane protein 106A	HDID_LOCUS1410	Hymenolepis diminuta (Rat tapeworm)	217	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3SAX1	unreviewed	A0A0R3SAX1_HYMDI	Neur_chan_memb domain-containing protein	HDID_LOCUS1547	Hymenolepis diminuta (Rat tapeworm)	270				ion transport [GO:0006811]	integral component of membrane [GO:0016021]		GO:0006811; GO:0016021
A0A0R3SC46	unreviewed	A0A0R3SC46_HYMDI	Neur_chan_LBD domain-containing protein	HDID_LOCUS2113	Hymenolepis diminuta (Rat tapeworm)	222					integral component of membrane [GO:0016021]	extracellular ligand-gated ion channel activity [GO:0005230]	GO:0005230; GO:0016021
A0A0R3SCS9	unreviewed	A0A0R3SCS9_HYMDI	PBPe domain-containing protein		Hymenolepis diminuta (Rat tapeworm)	493					integral component of membrane [GO:0016021]		GO:0016021
A0A0R3SDP0	unreviewed	A0A0R3SDP0_HYMDI	Amiloride-sensitive sodium channel	HDID_LOCUS2817	Hymenolepis diminuta (Rat tapeworm)	613	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3SG07	unreviewed	A0A0R3SG07_HYMDI	Amiloride-sensitive sodium channel subunit alpha	HDID_LOCUS3805	Hymenolepis diminuta (Rat tapeworm)	297	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3SGB2	unreviewed	A0A0R3SGB2_HYMDI	G_PROTEIN_RECEP_F1_2 domain-containing protein	HDID_LOCUS3928	Hymenolepis diminuta (Rat tapeworm)	228				ion transport [GO:0006811]	integral component of membrane [GO:0016021]		GO:0006811; GO:0016021
A0A0R3SGI9	unreviewed	A0A0R3SGI9_HYMDI	Uncharacterized protein	HDID_LOCUS4020	Hymenolepis diminuta (Rat tapeworm)	194	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3SH18	unreviewed	A0A0R3SH18_HYMDI	Amiloride-sensitive sodium channel	HDID_LOCUS4228 WMSIL1_LOCUS3852	Hymenolepis diminuta (Rat tapeworm)	577	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3SHB2	unreviewed	A0A0R3SHB2_HYMDI	Glutamate receptor	HDID_LOCUS4325	Hymenolepis diminuta (Rat tapeworm)	337		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00060;PF10613;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ionotropic glutamate receptor activity [GO:0004970]	GO:0004970; GO:0005886; GO:0016021
A0A0R3SHU4	unreviewed	A0A0R3SHU4_HYMDI	Acid-sensing ion channel 1-like	HDID_LOCUS4507	Hymenolepis diminuta (Rat tapeworm)	174	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3SHY7	unreviewed	A0A0R3SHY7_HYMDI	PBPe domain-containing protein	HDID_LOCUS4550	Hymenolepis diminuta (Rat tapeworm)	338					integral component of membrane [GO:0016021]		GO:0016021
A0A0R3SIE1	unreviewed	A0A0R3SIE1_HYMDI	Amiloride-sensitive sodium channel	HDID_LOCUS4705	Hymenolepis diminuta (Rat tapeworm)	684	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3SIJ0	unreviewed	A0A0R3SIJ0_HYMDI	tRNA-synt_1c_C domain-containing protein		Hymenolepis diminuta (Rat tapeworm)	120	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3SJT1	unreviewed	A0A0R3SJT1_HYMDI	LEA_2 domain-containing protein	HDID_LOCUS5194	Hymenolepis diminuta (Rat tapeworm)	262					integral component of membrane [GO:0016021]		GO:0016021
A0A0R3SKD3	unreviewed	A0A0R3SKD3_HYMDI	Neurotransmitter-gated ion-channel ligand binding domain protein		Hymenolepis diminuta (Rat tapeworm)	245		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02931;PF02932;		integral component of membrane [GO:0016021]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016021
A0A0R3SM00	unreviewed	A0A0R3SM00_HYMDI	Ionotropic receptor	HDID_LOCUS5963	Hymenolepis diminuta (Rat tapeworm)	140					integral component of membrane [GO:0016021]		GO:0016021
A0A0R3SMT5	unreviewed	A0A0R3SMT5_HYMDI	Uncharacterized protein	HDID_LOCUS6248	Hymenolepis diminuta (Rat tapeworm)	114					integral component of membrane [GO:0016021]		GO:0016021
A0A0R3SMV4	unreviewed	A0A0R3SMV4_HYMDI	Neur_chan_memb domain-containing protein	HDID_LOCUS6267	Hymenolepis diminuta (Rat tapeworm)	354		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02932;		integral component of membrane [GO:0016021]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016021
A0A0R3SQ66	unreviewed	A0A0R3SQ66_HYMDI	PBPe domain-containing protein	HDID_LOCUS7192	Hymenolepis diminuta (Rat tapeworm)	291			PF00497;		integral component of membrane [GO:0016021]	ligand-gated ion channel activity [GO:0015276]	GO:0015276; GO:0016021
A0A0R3SRG7	unreviewed	A0A0R3SRG7_HYMDI	Protein kinase domain-containing protein	HDID_LOCUS7762	Hymenolepis diminuta (Rat tapeworm)	579							
A0A0R3STS6	unreviewed	A0A0R3STS6_HYMDI	Amiloride-sensitive sodium channel	HDID_LOCUS8835 WMSIL1_LOCUS10281	Hymenolepis diminuta (Rat tapeworm)	579	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3SU47	unreviewed	A0A0R3SU47_HYMDI	Amiloride-sensitive sodium channel	HDID_LOCUS8992	Hymenolepis diminuta (Rat tapeworm)	587	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3SVP4	unreviewed	A0A0R3SVP4_HYMDI	PBPe domain-containing protein	HDID_LOCUS9659	Hymenolepis diminuta (Rat tapeworm)	190			PF00060;PF00497;		integral component of membrane [GO:0016021]	ligand-gated ion channel activity [GO:0015276]	GO:0015276; GO:0016021
A0A0R3SW94	unreviewed	A0A0R3SW94_HYMDI	Mucolipin-1	HDID_LOCUS9925	Hymenolepis diminuta (Rat tapeworm)	297				ion transport [GO:0006811]	integral component of membrane [GO:0016021]		GO:0006811; GO:0016021
A0A0R3SX23	unreviewed	A0A0R3SX23_HYMDI	Neur_chan_LBD domain-containing protein	HDID_LOCUS10265	Hymenolepis diminuta (Rat tapeworm)	437			PF02931;		integral component of membrane [GO:0016021]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016021
A0A0R3SXZ0	unreviewed	A0A0R3SXZ0_HYMDI	CBAH domain-containing protein	HDID_LOCUS10633	Hymenolepis diminuta (Rat tapeworm)	423	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3SZ90	unreviewed	A0A0R3SZ90_HYMDI	Neur_chan_LBD domain-containing protein	HDID_LOCUS11083	Hymenolepis diminuta (Rat tapeworm)	98			PF02931;		integral component of membrane [GO:0016021]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016021
A0A0R3SZS9	unreviewed	A0A0R3SZS9_RODNA	PBPe domain-containing protein	HNAJ_LOCUS1	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	294					integral component of membrane [GO:0016021]	ligand-gated ion channel activity [GO:0015276]	GO:0015276; GO:0016021
A0A0R3T0I7	unreviewed	A0A0R3T0I7_RODNA	Amiloride-sensitive sodium channel	HNAJ_LOCUS333	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	613	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3T170	unreviewed	A0A0R3T170_RODNA	Uncharacterized protein	HNAJ_LOCUS608	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	281				ion transport [GO:0006811]	integral component of membrane [GO:0016021]		GO:0006811; GO:0016021
A0A0R3T2F6	unreviewed	A0A0R3T2F6_RODNA	DUF4178 domain-containing protein	HNAJ_LOCUS1113	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	203					integral component of membrane [GO:0016021]		GO:0016021
A0A0R3T2F7	unreviewed	A0A0R3T2F7_RODNA	S1 motif domain-containing protein	HNAJ_LOCUS1114	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	571					integral component of membrane [GO:0016021]	nucleic acid binding [GO:0003676]	GO:0003676; GO:0016021
A0A0R3T2M1	unreviewed	A0A0R3T2M1_RODNA	Uncharacterized protein		Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	219							
A0A0R3T4N3	unreviewed	A0A0R3T4N3_RODNA	P2X purinoceptor	HNAJ_LOCUS2020	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	575					integral component of membrane [GO:0016021]		GO:0016021
A0A0R3T570	unreviewed	A0A0R3T570_RODNA	Apple domain-containing protein	HNAJ_LOCUS2207	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	591	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3T6D8	unreviewed	A0A0R3T6D8_RODNA	PBPb domain-containing protein	HNAJ_LOCUS2625	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	647		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00060;PF10613;		integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]	ionotropic glutamate receptor activity [GO:0004970]	GO:0004970; GO:0005886; GO:0016021
A0A0R3T7K5	unreviewed	A0A0R3T7K5_RODNA	Uncharacterized protein	HNAJ_LOCUS3042	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	261					integral component of membrane [GO:0016021]		GO:0016021
A0A0R3T7S7	unreviewed	A0A0R3T7S7_RODNA	PBPe domain-containing protein	HNAJ_LOCUS3114	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	181					integral component of membrane [GO:0016021]		GO:0016021
A0A0R3T7Z0	unreviewed	A0A0R3T7Z0_RODNA	Neur_chan_memb domain-containing protein	HNAJ_LOCUS3177	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	451		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF02932;		integral component of membrane [GO:0016021]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016021
A0A0R3T8D2	unreviewed	A0A0R3T8D2_RODNA	Transmembrane protein	HNAJ_LOCUS3319	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	222	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3T8U1	unreviewed	A0A0R3T8U1_RODNA	Transmembrane protein	HNAJ_LOCUS3478	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	346	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3TA70	unreviewed	A0A0R3TA70_RODNA	Uncharacterized protein	HNAJ_LOCUS3957	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	107							
A0A0R3TA73	unreviewed	A0A0R3TA73_RODNA	Acid-sensing ion channel 1-like	HNAJ_LOCUS3960	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	175	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3TBG0	unreviewed	A0A0R3TBG0_RODNA	PBPe domain-containing protein	HNAJ_LOCUS4397	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	125			PF00060;		integral component of membrane [GO:0016021]	ligand-gated ion channel activity [GO:0015276]	GO:0015276; GO:0016021
A0A0R3TCK5	unreviewed	A0A0R3TCK5_RODNA	CBAH domain-containing protein	HNAJ_LOCUS4792	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	423	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3TD25	unreviewed	A0A0R3TD25_RODNA	Amiloride-sensitive sodium channel	HNAJ_LOCUS4962	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	578	Amiloride-sensitive sodium channel (TC 1.A.6) family	SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF00858;		integral component of membrane [GO:0016021]	sodium channel activity [GO:0005272]	GO:0005272; GO:0016021
A0A0R3TE17	unreviewed	A0A0R3TE17_RODNA	Lig_chan-Glu_bd domain-containing protein	HNAJ_LOCUS5304	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	124		SUBCELLULAR LOCATION: Membrane {ECO:0000256|ARBA:ARBA00004141}; Multi-pass membrane protein {ECO:0000256|ARBA:ARBA00004141}.	PF10613;		plasma membrane [GO:0005886]	ionotropic glutamate receptor activity [GO:0004970]	GO:0004970; GO:0005886
A0A0R3TF71	unreviewed	A0A0R3TF71_RODNA	Neur_chan_LBD domain-containing protein	HNAJ_LOCUS5708	Rodentolepis nana (Dwarf tapeworm) (Hymenolepis nana)	265			PF02931;		integral component of membrane [GO:0016021]	extracellular ligand-gated ion channel activity [GO:0005230]; transmembrane signaling receptor activity [GO:0004888]	GO:0004888; GO:0005230; GO:0016021
